energy,liveness,tempo,speechiness,acousticness,instrumentalness,loudness,danceability,key,mode,valence,treinamento
0.761,0.17,141.971,0.0853,0.256,4.96e-06,-3.093,0.52,4.0,1.0,0.286,1
0.658,0.237,145.031,0.0558,0.0233,6e-05,-5.934,0.602,1.0,1.0,0.268,2
0.788,0.0753,170.019,0.0785,0.0482,0.0,-4.323,0.681,1.0,1.0,0.839,1
0.649,0.0934,93.95,0.0385,0.0817,3.8e-06,-5.892,0.631,5.0,0.0,0.421,0
0.597,0.1,110.001,0.0611,0.0788,5.66e-06,-5.131,0.799,5.0,0.0,0.419,1
0.798,0.0618,95.948,0.229,0.153,3.33e-06,-4.206,0.841,1.0,0.0,0.591,1
0.708,0.0841,103.073,0.0473,0.0337,0.0,-4.154,0.663,8.0,1.0,0.742,1
0.795,0.0717,79.028,0.0504,0.0417,0.000113,-5.115,0.801,1.0,0.0,0.754,2
0.677,0.111,100.584,0.093,0.0762,2.17e-05,-4.979,0.735,2.0,1.0,0.188,0
0.628,0.108,145.905,0.201,0.0739,0.0,-5.456,0.909,2.0,1.0,0.406,0
0.731,0.308,87.908,0.0868,0.0534,0.0,-6.343,0.589,2.0,1.0,0.191,1
0.654,0.071,180.024,0.153,0.627,1.02e-06,-5.944,0.67,4.0,1.0,0.438,0
0.804,0.253,123.146,0.0363,0.215,0.0,-4.183,0.63,6.0,1.0,0.492,0
0.895,0.0501,94.968,0.0589,0.165,0.0,-3.112,0.792,1.0,0.0,0.794,1
0.813,0.255,79.997,0.0561,0.03,9.33e-05,-3.023,0.814,2.0,0.0,0.839,1
0.519,0.108,94.981,0.143,0.202,0.0,-6.531,0.876,11.0,1.0,0.158,0
0.296,0.095,115.284,0.0333,0.934,0.0,-10.109,0.351,4.0,0.0,0.12,2
0.816,0.159,181.967,0.269,0.00299,0.0,-5.474,0.815,2.0,1.0,0.498,0
0.621,0.0958,150.011,0.102,0.000282,5.39e-05,-6.638,0.908,1.0,0.0,0.421,0
0.805,0.203,93.983,0.0752,0.315,0.0,-4.249,0.754,6.0,1.0,0.555,1
0.299,0.123,94.992,0.0263,0.779,0.0,-7.365,0.587,8.0,1.0,0.356,1
0.738,0.198,198.075,0.247,0.328,1.47e-05,-6.073,0.722,9.0,0.0,0.748,0
0.539,0.165,136.949,0.0421,0.199,1.66e-05,-6.351,0.798,1.0,1.0,0.394,2
0.664,0.0937,98.015,0.0607,0.165,3.97e-05,-7110,0.855,9.0,0.0,0.626,0
0.679,0.068,166.008,0.135,0.18,7.26e-05,-4.985,0.775,4.0,0.0,0.619,1
0.493,0.127,94.016,0.0735,0.128,0.000147,-6.688,0.909,3.0,1.0,0.844,1
0.768,0.325,123.07,0.0394,0.0119,4.91e-06,-5.991,0.781,11.0,1.0,0.486,1
0.346,0.108,119.958,0.53,0.035,0.0,-9.309,0.964,5.0,0.0,0.562,0
